benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n45,1,new_n45,1.0,1.0,1.0,1.0,9,9,66d5aace10a95352,66d5aace10a95352,9,9,2,2
generated_adder_4,balance,new_n45,2,new_n44,0.7347222222222223,0.75,0.7777777777777778,0.5,9,8,66d5aace10a95352,2dfcd5b8c807055f,9,7,2,2
generated_adder_4,balance,new_n45,3,new_n46,0.725,0.5,1.0,1.0,9,9,66d5aace10a95352,cfd18bfa9d5f5272,9,9,2,2
generated_adder_4,balance,new_n45,4,new_n49,0.725,0.5,1.0,1.0,9,9,66d5aace10a95352,92371b78397fd8f6,9,9,2,2
generated_adder_4,balance,new_n45,5,new_n36,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,9,7,66d5aace10a95352,9765d48dd9ca3fa0,9,7,2,2
generated_adder_4,balance,new_n46,1,new_n46,1.0,1.0,1.0,1.0,9,9,cfd18bfa9d5f5272,cfd18bfa9d5f5272,9,9,2,2
generated_adder_4,balance,new_n46,2,new_n45,0.725,0.5,1.0,1.0,9,9,cfd18bfa9d5f5272,66d5aace10a95352,9,9,2,2
generated_adder_4,balance,new_n46,3,new_n49,0.725,0.5,1.0,1.0,9,9,cfd18bfa9d5f5272,92371b78397fd8f6,9,9,2,2
generated_adder_4,balance,new_n46,4,new_n43,0.7180555555555556,0.75,0.7777777777777778,0.3333333333333333,9,7,cfd18bfa9d5f5272,393e67c0209b96d7,9,7,2,2
generated_adder_4,balance,new_n46,5,new_n37,0.6493055555555555,0.625,0.7777777777777778,0.3333333333333333,9,7,cfd18bfa9d5f5272,fc3ae64897cda2dd,9,7,2,2
generated_adder_4,balance,new_n48,1,new_n48,1.0,1.0,1.0,1.0,1,1,c81633045c6eeaa2,c81633045c6eeaa2,2,2,2,2
generated_adder_4,balance,new_n48,2,new_n41,0.8125,0.75,1.0,0.5,1,2,c81633045c6eeaa2,0443617a72b09093,2,2,2,2
generated_adder_4,balance,new_n48,3,new_n39,0.725,0.5,1.0,1.0,1,1,c81633045c6eeaa2,18892720a7f04077,2,2,2,2
generated_adder_4,balance,new_n48,4,new_n40,0.725,0.5,1.0,1.0,1,1,c81633045c6eeaa2,af423559a1f1be28,2,2,2,2
