benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,4096,0,0.240234375,0.009765625,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,4096,1,0.2412109375,0.0087890625,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,4096,2,0.234375,0.015625,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,4096,3,0.239501953125,0.010498046875,18.5,16.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,4096,4,0.246337890625,0.003662109375,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,8192,0,0.2470703125,0.0029296875,18.5,16.0,2.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,8192,1,0.2509765625,0.0009765625,18.5,19.0,0.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,8192,2,0.242919921875,0.007080078125,18.5,15.0,3.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,8192,3,0.253173828125,0.003173828125,18.5,19.0,0.5
external_iscas85_c2670,resyn2,new_n694,new_n796,verified,12,0.25,8192,4,0.251708984375,0.001708984375,18.5,20.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,128,0,0.2265625,0.0234375,18.5,17.0,1.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,128,1,0.296875,0.046875,18.5,21.0,2.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,128,2,0.21875,0.03125,18.5,16.0,2.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,128,3,0.234375,0.015625,18.5,15.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,128,4,0.2421875,0.0078125,18.5,15.0,3.5
external_iscas85_c2670,resyn2_like,new_n694,new_n796,verified,12,0.25,512,0,0.279296875,0.029296875,18.5,22.0,3.5
